userName = 초록,nameKart = 초록색카트,ipKart = 192.168.241.240,sendPortKart = 7000,revPortKart = 7000,namePlayer = 코믿,ipPlayer = 192.168.241.187,sendPortPlayer = 8000,revPortPlayer = 8000
현재구간,최초 연결시간,현재시간,왼쪽 모터상태,오른쪽 모터상태,방향변환값,변환된 컬러값,LUX,컬러R,컬러G,컬러B,raw방향값
0,46697,81301,168,165,0.06,mdf,80,194,137,100,108.15
0,46697,81458,171,168,0.06,mdf,80,194,137,99,108.15
0,46697,81778,177,174,0.00,mdf,80,194,137,99,108.21
0,46697,81938,180,177,-1.57,mdf,79,194,136,99,109.78
0,46697,82098,183,180,-6.54,mdf,80,196,138,100,114.75
0,46697,82258,186,183,-12.59,mdf,84,205,144,104,120.80
0,46697,82738,195,192,-32.64,mdf,83,197,140,101,140.85
0,46697,82898,198,195,-36.06,mdf,89,215,151,108,144.27
0,46697,83058,201,198,-37.10,mdf,97,228,163,117,145.31
0,46697,83218,204,201,-37.09,mdf,95,224,160,115,145.30
0,46697,83378,207,204,-37.04,mdf,87,206,147,106,145.25
0,46697,83538,210,207,-37.99,mdf,84,204,144,104,146.20
0,46697,83698,213,210,-39.34,mdf,79,189,134,97,147.55
0,46697,83858,216,213,-40.51,mdf,76,180,128,92,148.72
0,46697,84018,219,216,-40.87,mdf,77,186,132,96,149.08
0,46697,84178,222,219,-40.32,mdf,75,180,129,95,148.53
0,46697,84338,225,222,-40.26,mdf,78,185,132,96,148.47
0,46697,84498,228,225,-40.11,mdf,75,183,129,94,148.32
0,46697,84658,231,228,-40.44,mdf,74,182,128,93,148.65
0,46697,84978,237,234,-40.93,mdf,78,193,135,98,149.14
0,46697,85138,240,237,-42.09,mdf,78,190,134,97,150.30
0,46697,85298,243,240,-43.27,mdf,68,166,118,87,151.48
0,46697,85461,240,243,-43.38,mdf,66,159,114,84,151.59
0,46697,85780,234,249,-43.66,mdf,75,181,128,93,151.87
0,46697,85940,231,252,-43.58,mdf,78,187,133,97,151.79
0,46697,86100,228,252,-43.05,mdf,77,186,133,98,151.26
0,46697,86260,225,252,-42.18,mdf,78,185,133,98,150.39
0,46697,86420,222,252,-41.71,mdf,80,193,137,100,149.92
0,46697,86580,219,252,-40.69,mdf,80,197,138,100,148.90
0,46697,86740,216,252,-39.59,mdf,74,179,126,91,147.80
0,46697,86900,213,252,-37.97,mdf,83,202,141,101,146.18
0,46697,87060,210,252,-36.29,mdf,71,170,121,88,144.50
0,46697,87220,207,252,-34.24,mdf,76,186,132,97,142.45
0,46697,87380,204,252,-32.68,mdf,75,184,130,95,140.89
0,46697,87540,201,252,-30.70,mdf,74,179,127,93,138.91
0,46697,87700,198,252,-28.94,mdf,74,182,128,94,137.15
0,46697,87860,195,252,-27.35,mdf,73,178,126,92,135.56
0,46697,88180,189,252,-23.18,mdf,74,177,127,93,131.39
0,46697,88340,186,252,-20.35,mdf,79,189,135,98,128.56
0,46697,88501,183,252,-18.46,mdf,79,189,135,98,126.67
0,46697,88661,180,252,-16.84,mdf,83,199,142,104,125.05
0,46697,89141,171,252,-10.63,mdf,83,201,142,103,118.84
0,46697,89301,168,252,-7.33,mdf,81,196,139,101,115.54
0,46697,89461,0,252,-3.98,mdf,87,208,148,107,112.19
0,46697,92364,168,252,-71.79,mdf,80,193,137,100,180.00
0,46697,92522,171,252,-143.12,mdf,91,215,154,112,251.33
0,46697,92682,174,252,-139.25,mdf,92,220,157,114,247.46
0,46697,92842,177,252,-135.87,mdf,82,197,140,102,244.08
0,46697,93002,180,252,-132.71,mdf,76,187,132,97,240.92
0,46697,93162,183,252,-128.80,mdf,78,188,134,98,237.01
0,46697,93322,186,252,-125.53,mdf,86,203,146,106,233.74
0,46697,93482,189,252,-121.82,mdf,81,196,139,101,230.03
0,46697,93802,195,252,-115.66,mdf,81,193,138,101,223.87
0,46697,93962,198,252,-113.10,mdf,89,214,152,110,221.31
0,46697,94122,201,252,-111.28,mdf,89,209,149,107,219.49
0,46697,94282,204,252,-108.70,mdf,90,214,152,109,216.91
0,46697,94442,207,252,-105.19,mdf,83,202,142,103,213.40
0,46697,94603,210,252,-102.45,mdf,86,204,146,106,210.66
0,46697,94763,213,252,-99.80,mdf,92,216,156,114,208.01
0,46697,94923,216,252,-97.26,mdf,97,227,163,118,205.47
0,46697,95083,219,252,-94.75,mdf,94,221,158,114,202.96
0,46697,95246,216,249,-93.28,mdf,85,204,145,105,201.49
0,46697,95404,213,246,-92.07,mdf,86,206,147,107,200.28
0,46697,95564,210,243,-90.20,mdf,85,201,144,104,198.41
0,46697,95724,207,240,-88.34,mdf,85,201,144,104,196.55
0,46697,95884,204,237,-86.68,mdf,85,202,144,104,194.89
0,46697,96044,201,234,-85.43,mdf,83,197,140,101,193.64
0,46697,96204,198,231,-84.50,mdf,84,199,142,102,192.71
0,46697,96364,195,228,-83.17,mdf,78,190,134,97,191.38
0,46697,96524,192,225,-81.11,mdf,85,204,145,105,189.32
0,46697,96684,189,222,-80.36,mdf,87,207,147,106,188.57
0,46697,96844,186,219,-79.50,mdf,89,213,150,107,187.71
0,46697,97004,183,216,-77.64,mdf,79,189,134,97,185.85
0,46697,97164,180,213,-75.67,mdf,87,206,146,104,183.88
0,46697,97324,177,210,-74.76,mdf,79,192,135,97,182.97
0,46697,97484,174,207,-73.86,mdf,79,192,136,99,182.07
0,46697,97644,171,204,-73.24,mdf,76,184,130,94,181.45
0,46697,97804,168,201,-72.57,mdf,73,179,125,90,180.78
0,46697,97964,0,198,-70.73,mdf,71,177,123,89,178.94
0,46697,98124,-168,195,-66.87,mdf,75,189,131,95,175.08
0,46697,98284,-171,192,-52.34,mdf,77,191,134,98,160.55
0,46697,98604,-177,186,-14.40,mdf,78,188,133,96,122.61
0,46697,98764,-180,183,6.02,mdf,71,175,122,88,102.19
0,46697,98924,-183,180,24.96,mdf,65,164,114,83,83.25
0,46697,99084,-186,177,42.12,mdf,81,195,138,100,66.09
0,46697,99404,-192,171,75.49,mdf,85,204,144,103,32.72
0,46697,99564,-195,168,92.37,mdf,86,208,147,106,15.84
0,46697,99724,-198,165,-250.48,mdf,85,205,145,105,358.69
0,46697,99884,-201,0,-234.15,mdf,79,195,137,100,342.36
0,46697,100044,-204,-165,-219.67,mdf,76,183,130,95,327.88
0,46697,100204,-207,-168,-213.00,mdf,72,176,125,92,321.21
0,46697,100364,-210,-171,-211.39,mdf,72,178,125,91,319.60
0,46697,100524,-213,-174,-210.43,mdf,70,171,120,87,318.64
0,46697,100684,-216,-177,-208.93,mdf,82,195,139,101,317.14
0,46697,100844,-219,-180,-207.39,mdf,74,180,127,92,315.60
0,46697,101004,-222,-183,-205.50,mdf,73,176,125,91,313.71
0,46697,101164,-225,-186,-203.90,mdf,75,184,129,94,312.11
0,46697,101324,-228,-189,-203.04,mdf,74,182,128,93,311.25
0,46697,101484,-231,-192,-202.45,mdf,70,175,122,89,310.66
0,46697,101804,-237,-198,-200.24,mdf,69,167,118,86,308.45
0,46697,101964,-240,-201,-200.26,mdf,74,180,127,92,308.47
0,46697,102124,-243,-204,-200.77,mdf,74,179,127,93,308.98
0,46697,102284,-246,-207,-200.04,mdf,82,195,139,101,308.25
0,46697,102604,-252,-213,-198.07,mdf,78,187,133,97,306.28
0,46697,102764,-255,-216,-196.83,mdf,76,184,130,94,305.04
0,46697,102924,-255,-219,-195.97,mdf,73,177,125,91,304.18
0,46697,103084,-255,-222,-194.69,mdf,80,191,136,98,302.90
0,46697,103405,-249,-216,-191.43,mdf,69,167,119,87,299.64
0,46697,103565,-246,-213,-189.51,mdf,75,180,128,93,297.72
0,46697,103725,-243,-210,-187.96,mdf,82,200,141,102,296.17
0,46697,103885,-240,-207,-186.96,mdf,85,205,144,103,295.17
0,46697,104205,-234,-201,-185.96,mdf,74,182,127,92,294.17
0,46697,104365,-231,-198,-186.24,mdf,77,188,132,96,294.45
0,46697,104525,-228,-195,-186.73,mdf,83,200,142,103,294.94
0,46697,104685,-225,-192,-185.51,mdf,83,201,142,103,293.72
0,46697,105005,-219,-186,-182.45,mdf,72,175,123,89,290.66
0,46697,105165,-216,-183,-180.28,mdf,79,194,135,97,288.49
0,46697,105325,-213,-180,-176.26,mdf,77,190,132,95,284.47
0,46697,105485,-210,-177,-172.43,mdf,80,195,136,97,280.64
0,46697,105645,-207,-174,-168.09,mdf,77,191,133,96,276.30
0,46697,105806,-204,-171,-162.85,mdf,77,189,132,95,271.06
0,46697,105966,-201,-168,-157.61,mdf,67,171,118,86,265.82
0,46697,106126,-198,-165,-151.65,mdf,76,192,132,95,259.86
0,46697,106286,-195,0,-144.54,mdf,77,195,134,96,252.75
0,46697,106446,-192,0,-134.42,mdf,72,178,124,90,242.63
0,46697,106606,-189,0,-117.32,mdf,76,186,131,95,225.53
0,46697,106766,-186,0,-100.53,mdf,84,202,143,104,208.74
0,46697,106926,-183,0,-84.93,mdf,79,189,135,98,193.14
0,46697,107086,-180,0,-69.13,mdf,79,189,134,97,177.34
0,46697,107246,-177,0,-53.24,mdf,79,188,134,97,161.45
0,46697,107406,-174,0,-36.71,mdf,86,204,145,104,144.92
0,46697,107566,-171,0,-20.84,mdf,89,214,152,110,129.05
0,46697,107726,-168,0,-6.07,mdf,90,217,153,110,114.28
0,46697,107886,0,0,8.50,mdf,91,219,155,112,99.71
